"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Products","1","0","Добавление товара и навигация","0"
"0","","0","Cart","1","0","Возврат к товарам","0"
"0","","0","Checkout Step One","3","0","Валидация обязательных полей","0"
"0","","0","Checkout Overview Page","1","0","Успешное завершение заказа","0"
"0","","0","Login","1","0","Успешный логин","0"
"0","","0","Cart","1","0","Удаление товара","0"
"0","","0","Products","2","0","Сортировка","0"
"0","","0","Products","1","0","Навигация","0"
"0","","0","Login","2","0","Невалидный логин","0"
"0","","0","Products","1","0","Удаление товара","0"
"0","","0","Login","2","0","Валидация формы","0"
"0","","0","Checkout Step One","1","0","Отмена checkout","0"
"0","","0","Checkout Step One","1","0","Успешное заполнение checkout формы","0"
"0","","0","Checkout Complete Page","1","0","Успешное завершение заказа","0"
"0","","0","Cart","1","0","Переход в checkout","0"
"0","","0","Checkout Overview Page","1","0","Отмена checkout","0"
"0","","0","Checkout Overview Page","1","0","Отображение данных заказа","0"
"0","","0","Cart","1","0","Отображение товара в корзине","0"
