"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","459","Пользователь может добавить товар в корзину","tests","2026-03-30","passed","2026-03-30","TestProductsPage","test_products_page","",""
"","544","Пользователь может вернуться к списку товаров","tests","2026-03-30","passed","2026-03-30","TestCartPage","test_cart_page","",""
"","552","Пользователь видит ошибки при пустых обязательных полях","tests","2026-03-30","passed","2026-03-30","TestCheckoutInfoPage","test_checkout_info_page","",""
"","282","Пользователь может завершить checkout с overview страницы","tests","2026-03-30","passed","2026-03-30","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1372","Пользователь может войти с валидными данными","tests","2026-03-30","passed","2026-03-30","TestLoginPage","test_login_page","",""
"","622","Пользователь может удалить товар из корзины","tests","2026-03-30","passed","2026-03-30","TestCartPage","test_cart_page","",""
"","195","Пользователь может отсортировать товары по цене","tests","2026-03-30","passed","2026-03-30","TestProductsPage","test_products_page","",""
"","124","Пользователь может открыть карточку товара","tests","2026-03-30","passed","2026-03-30","TestProductsPage","test_products_page","",""
"","1371","Пользователь видит ошибку при неуспешной попытке входа","tests","2026-03-30","passed","2026-03-30","TestLoginPage","test_login_page","",""
"","487","Пользователь видит ошибки при пустых обязательных полях","tests","2026-03-30","passed","2026-03-30","TestCheckoutInfoPage","test_checkout_info_page","",""
"","280","Пользователь может удалить товар из корзины со страницы товаров","tests","2026-03-30","passed","2026-03-30","TestProductsPage","test_products_page","",""
"","1395","Пользователь видит ошибку при неуспешной попытке входа","tests","2026-03-30","passed","2026-03-30","TestLoginPage","test_login_page","",""
"","1230","Пользователь видит ошибки при пустых обязательных полях","tests","2026-03-30","passed","2026-03-30","TestLoginPage","test_login_page","",""
"","221","Пользователь может отменить заполнение формы и вернуться в cart","tests","2026-03-30","passed","2026-03-30","TestCheckoutInfoPage","test_checkout_info_page","",""
"","838","Пользователь может перейти к overview с валидными данными","tests","2026-03-30","passed","2026-03-30","TestCheckoutInfoPage","test_checkout_info_page","",""
"","413","Пользователь видит подтверждение заказа и может вернуться к товарам","tests","2026-03-30","passed","2026-03-30","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","438","Пользователь может перейти к оформлению заказа","tests","2026-03-30","passed","2026-03-30","TestCartPage","test_cart_page","",""
"","253","Пользователь может отменить checkout и вернуться к products","tests","2026-03-30","passed","2026-03-30","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","203","Пользователь может отсортировать товары по цене","tests","2026-03-30","passed","2026-03-30","TestProductsPage","test_products_page","",""
"","1350","Пользователь видит ошибки при пустых обязательных полях","tests","2026-03-30","passed","2026-03-30","TestLoginPage","test_login_page","",""
"","22","Пользователь видит добавленный товар на overview странице","tests","2026-03-30","passed","2026-03-30","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","686","Пользователь видит ошибки при пустых обязательных полях","tests","2026-03-30","passed","2026-03-30","TestCheckoutInfoPage","test_checkout_info_page","",""
"","327","Пользователь видит добавленный товар в корзине","tests","2026-03-30","passed","2026-03-30","TestCartPage","test_cart_page","",""
